occ_code,task_id,pi,normalized_time
11-3071.00,21364,0.0470854657514315,0.0254777070063694
11-3071.00,21365,0.0317483773789652,0.0127388535031847
11-3071.04,15680,0.0250592768228776,0.0416666666666666
11-3071.04,15681,0.0467948334381578,0.0166666666666666
11-3071.04,15685,0.0130749161748736,0.0666666666666666
11-3071.04,15688,0.0117761135557721,0.05
11-3071.04,15691,0.0340297425789013,0.025
11-3071.04,15692,0.0317534347699913,0.0166666666666666
11-3071.04,15693,0.0330875201347855,0.025
11-3071.04,15694,0.0449804765533841,0.0666666666666666
11-3071.04,15695,0.0026728929864912,0.025
11-3071.04,15696,0.0342497311516429,0.0583333333333333
11-3071.04,15697,0.0223342409222576,0.0416666666666666
11-3071.04,15698,0.0250552763209134,0.025
11-3071.04,15700,0.0034753116956424,0.0333333333333333
11-3071.04,15701,0.0021350776957435,0.0416666666666666
11-3071.04,19539,0.0633832137272346,0.0083333333333333
11-3071.04,19540,0.0216899576709802,0.0083333333333333
11-3071.04,19541,0.0448080309759313,0.0166666666666666
11-3071.04,19542,0.0323880695222626,0.025
11-3071.04,19543,0.0535759438912239,0.0083333333333333
11-3071.04,19544,0.0844513267235063,0.0083333333333333
11-3071.04,19545,0.1161318599319326,0.0083333333333333
11-3071.04,19546,0.021294457443058,0.0083333333333333
11-3071.04,20942,0.0088178694983971,0.0333333333333333
11-3071.04,20943,0.0225521165361292,0.1
11-3071.04,20944,0.0053097220910652,0.05
11-3071.04,20945,0.0020550872598692,0.05
11-3071.04,20946,0.0233036734054696,0.0583333333333333
11-3071.04,20947,0.0318751585537548,0.0333333333333333
11-3071.04,20948,0.0850599317920883,0.0333333333333333
11-3071.04,20949,0.0528247361756614,0.0166666666666666
11-3111.00,3266,0.1167184975267365,0.016260162601626
11-3111.00,3267,0.0042794231937076,0.040650406504065
11-3111.00,3268,0.0007145979646294,0.0975609756097561
11-3111.00,3269,0.0580784207355656,0.024390243902439
11-3111.00,3270,0.0508055975703914,0.0975609756097561
11-3111.00,3271,0.0029731131618978,0.048780487804878
11-3111.00,3272,0.0007503253609423,0.08130081300813
11-3111.00,3273,0.0417852957293889,0.0975609756097561
11-3111.00,3274,0.0006431431720034,0.048780487804878
11-3111.00,3275,0.0052790480546461,0.056910569105691
11-3111.00,3276,0.0084635099486452,0.048780487804878
11-3111.00,3277,0.083085146277001,0.040650406504065
11-3111.00,3278,0.0995793277288298,0.032520325203252
11-3111.00,3279,0.0274491702586678,0.032520325203252
11-3111.00,3280,0.0826285008393075,0.008130081300813
11-3111.00,3282,0.1240063111618319,0.008130081300813
11-3111.00,3283,0.0503260167938633,0.065040650406504
11-3111.00,3285,0.0012070422450887,0.032520325203252
11-3111.00,3287,0.0579552923897035,0.032520325203252
11-3111.00,3288,0.0579360600145245,0.016260162601626
11-3111.00,3289,0.0909768440997113,0.016260162601626
11-3111.00,3290,0.0343593157729155,0.032520325203252
11-3121.00,982,0.0085392739347761,0.0669456066945606
11-3121.00,983,0.0073334470322527,0.0836820083682008
11-3121.00,984,0.045596797978507,0.0334728033472803
11-3121.00,985,0.0105103728240185,0.0502092050209205
11-3121.00,986,0.0349287887127889,0.0585774058577405
11-3121.00,987,0.0085911674949317,0.0669456066945606
11-3121.00,988,0.0227903792595736,0.0502092050209205
11-3121.00,989,0.0022069953911835,0.0334728033472803
11-3121.00,990,0.0395346755086124,0.100418410041841
11-3121.00,991,0.0422727795683119,0.100418410041841
11-3121.00,992,0.0211694266926595,0.0251046025104602
11-3121.00,993,0.0442433625805122,0.0502092050209205
11-3121.00,994,0.0052827236430466,0.0334728033472803
11-3121.00,995,0.0061758230280429,0.0836820083682008
11-3121.00,996,0.0034848411756203,0.0167364016736401
11-3121.00,997,0.0784406706128739,0.00836820083682
11-3121.00,998,0.000185369098379,0.00836820083682
11-3121.00,999,0.1352727161659223,0.0167364016736401
11-3121.00,1000,0.0390344909160619,0.0167364016736401
11-3121.00,1001,0.0223938599139319,0.0167364016736401
11-3121.00,1002,0.0679021491232198,0.00836820083682
11-3121.00,1003,0.0207335415447765,0.0251046025104602
11-3121.00,1004,0.0603837654239697,0.0167364016736401
11-3121.00,1005,0.0208816911137034,0.0167364016736401
11-3121.00,1006,0.0967731387909097,0.00418410041841
11-3121.00,1007,0.1553377524714131,0.00836820083682
11-3131.00,1008,0.0401477692728479,0.0888888888888888
11-3131.00,1009,0.0231143946209282,0.1111111111111111
11-3131.00,1010,0.0371106335340801,0.0444444444444444
11-3131.00,1011,0.0400017459700867,0.1111111111111111
11-3131.00,1012,0.0058244181809266,0.0888888888888888
11-3131.00,1013,0.0586615350266778,0.1111111111111111
11-3131.00,1014,0.0322670322909519,0.1777777777777777
11-3131.00,1015,0.0287635764006611,0.0888888888888888
11-3131.00,1016,0.2806130129952724,0.0333333333333333
11-3131.00,1017,0.0429184442473212,0.0666666666666666
11-3131.00,1018,0.3720095938832191,0.0333333333333333
11-3131.00,1019,0.0385678435770263,0.0444444444444444
11-9013.00,21370,0.0053797817794749,0.0327868852459016
11-9013.00,21371,0.0809186739871031,0.0218579234972677
11-9013.00,21372,0.0580090269327182,0.0109289617486338
11-9013.00,21373,0.0290134767966258,0.0109289617486338
11-9013.00,21374,0.0041200001441379,0.0437158469945355
11-9013.00,21375,0.0433084839268762,0.0218579234972677
11-9013.00,21376,0.0420736657901972,0.0109289617486338
11-9013.00,21377,0.0663601625357464,0.0327868852459016
11-9013.00,21378,0.0143777508992605,0.0218579234972677
11-9013.00,21379,0.0174303434782674,0.0655737704918032
11-9013.00,21380,0.0258706005539674,0.0546448087431694
11-9013.00,21381,0.0326495285732557,0.0437158469945355
11-9013.00,21382,0.0585739655701799,0.0546448087431694
11-9013.00,21383,0.0562526535878394,0.0327868852459016
11-9013.00,21384,0.0423617330186839,0.0218579234972677
11-9013.00,21385,0.0517636552809762,0.0163934426229508
11-9013.00,21386,0.0700740331630487,0.0109289617486338
11-9013.00,21387,0.0895669085325315,0.0163934426229508
11-9013.00,21388,0.0489259266535986,0.0273224043715847
11-9013.00,21389,0.1629696287955101,0.0109289617486338
11-9021.00,3314,0.009467221014575,0.0819112627986348
11-9021.00,3315,0.0137543536446365,0.0819112627986348
11-9021.00,3317,0.0703644177085476,0.0273037542662116
11-9021.00,3318,0.0184239514319831,0.068259385665529
11-9021.00,3323,0.0105587990058039,0.0409556313993174
11-9021.00,3325,0.0556503661023221,0.0409556313993174
11-9021.00,3326,0.00444618843733,0.068259385665529
11-9021.00,3327,0.0328141510768142,0.0273037542662116
11-9021.00,3331,0.1933571874635034,0.0034129692832764
11-9021.00,19518,0.0807517828424092,0.0136518771331058
11-9021.00,19519,0.0167983645207067,0.0068259385665529
11-9021.00,19520,0.0324939178403033,0.0068259385665529
11-9021.00,19521,0.032789016169392,0.0068259385665529
11-9021.00,19522,0.0519561131417969,0.0204778156996587
11-9021.00,19523,0.0342155687581338,0.0136518771331058
11-9021.00,19524,0.0807595094503643,0.0068259385665529
11-9021.00,20332,0.0207218097809567,0.1092150170648464
11-9021.00,20333,0.0222023688418635,0.0204778156996587
11-9021.00,20334,0.0166268632588001,0.0409556313993174
11-9021.00,20335,0.0202239304022477,0.0273037542662116
11-9021.00,20336,0.0228811035193379,0.0546075085324232
11-9021.00,20337,0.0002119917859805,0.0136518771331058
11-9021.00,20338,0.0360605293675524,0.0273037542662116
11-9021.00,20339,0.0434867453957087,0.0546075085324232
11-9021.00,20340,0.0789837490389293,0.136518771331058
11-9032.00,5227,0.1591104579643422,0.02
11-9032.00,5234,0.0494898496958516,0.0266666666666666
11-9032.00,21040,0.0439851466858519,0.0266666666666666
11-9033.00,5241,0.1255442604533673,0.0209790209790209
11-9033.00,5245,0.1768586940316047,0.0349650349650349
11-9033.00,5259,0.1444071227338523,0.0279720279720279
11-9033.00,18597,0.1863960125782777,0.0209790209790209
11-9041.00,1063,0.19674002830415,0.0472440944881889
11-9041.00,19527,0.1751118684860054,0.0236220472440944
